
 num     #instances         #bytes  class name
----------------------------------------------
   1:        687104       42836544  [I
   2:        613492       19631744  org.ucsd.db.fastview.datamodel.JoinTuple$Wrapper
   3:        228995       18319600  org.ucsd.db.fastview.datamodel.JoinTuple
   4:        384497       12303904  org.ucsd.db.fastview.index.IntHashMap$Entry
   5:        170094       10156680  [Ljava.lang.Object;
   6:        338784        9575208  [Lorg.ucsd.db.fastview.datamodel.JoinTuple;
   7:        228995        7327840  org.ucsd.db.fastview.datamodel.ArrayHashMap$Entry
   8:        228995        5495880  [Lorg.ucsd.db.fastview.datamodel.VertexValue;
   9:        169392        5420544  org.ucsd.db.fastview.datamodel.VertexValue
  10:        140013        4480416  java.util.HashMap$Entry
  11:        270301        4324816  java.lang.Integer
  12:        169476        4067424  java.util.ArrayList
  13:         17280        2223040  <methodKlass>
  14:         17280        2150864  <constMethodKlass>
  15:             2        2097184  [Lorg.ucsd.db.fastview.index.IntHashMap$Entry;
  16:             2        2097184  [Lorg.ucsd.db.fastview.datamodel.ArrayHashMap$Entry;
  17:          1376        1512064  <constantPoolKlass>
  18:           127        1060824  [Ljava.util.HashMap$Entry;
  19:          1376         976160  <instanceKlassKlass>
  20:          1237         936192  <constantPoolCacheKlass>
  21:          4765         329208  [C
  22:          2421         286392  [B
  23:           456         206512  <methodDataKlass>
  24:          1540         149712  java.lang.Class
  25:          2207         124240  [[I
  26:          2101         122824  [S
  27:          4726         113424  java.lang.String
  28:           147          79968  <objArrayKlassKlass>
  29:           491          39280  java.lang.reflect.Method
  30:           491          35352  java.lang.reflect.Field
  31:           882          28224  java.util.concurrent.ConcurrentHashMap$HashEntry
  32:           859          13744  java.lang.Object
  33:           379          11712  [Ljava.lang.String;
  34:           143           9080  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  35:           226           9040  java.lang.ref.SoftReference
  36:           244           7808  java.util.Hashtable$Entry
  37:           185           7400  java.util.LinkedHashMap$Entry
  38:           153           7344  java.util.HashMap
  39:           367           7080  [Ljava.lang.Class;
  40:           133           6384  java.lang.Class$ReflectionData
  41:            59           6320  [Ljava.util.WeakHashMap$Entry;
  42:           256           6144  java.lang.Long
  43:            90           5760  java.net.URL
  44:           143           5720  java.util.concurrent.ConcurrentHashMap$Segment
  45:           127           5080  java.lang.ref.Finalizer
  46:           158           5056  java.util.concurrent.locks.ReentrantLock$NonfairSync
  47:           189           4536  javax.management.ImmutableDescriptor
  48:            61           4392  java.lang.reflect.Constructor
  49:            85           4368  [Ljava.lang.reflect.Method;
  50:             8           4352  <typeArrayKlassKlass>
  51:           106           4240  java.util.WeakHashMap$Entry
  52:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
  53:             1           4112  [Ljava.nio.ByteBuffer;
  54:            78           3744  java.util.zip.Inflater
  55:            90           3600  java.util.TreeMap$Entry
  56:            56           3136  java.util.WeakHashMap
  57:            77           3080  java.math.BigInteger
  58:            91           2912  java.lang.ref.WeakReference
  59:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
  60:            20           2800  [Ljava.util.Hashtable$Entry;
  61:            58           2776  [Ljava.lang.reflect.Field;
  62:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
  63:            47           2456  [Ljavax.management.MBeanAttributeInfo;
  64:            30           2400  sun.net.www.protocol.jar.URLJarFile
  65:            58           2320  java.io.ObjectStreamField
  66:            11           2288  <klassKlass>
  67:             6           2288  [J
  68:            70           2240  java.lang.ref.ReferenceQueue
  69:            28           2240  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
  70:            46           2208  javax.management.MBeanInfo
  71:            39           2184  java.lang.Package
  72:           128           2048  java.lang.Character
  73:            42           2016  sun.nio.cs.UTF_8$Encoder
  74:            62           1984  javax.management.MBeanAttributeInfo
  75:            41           1968  sun.util.locale.LocaleObjectCache$CacheEntry
  76:            78           1872  java.util.zip.ZStreamRef
  77:            28           1344  java.util.concurrent.ConcurrentHashMap
  78:            24           1344  java.security.Provider$Service
  79:            27           1296  java.util.logging.LogManager$LoggerWeakRef
  80:            72           1152  java.lang.ref.ReferenceQueue$Lock
  81:            47           1128  java.security.Provider$ServiceKey
  82:            35           1120  java.util.zip.ZipCoder
  83:             1           1040  [Ljava.lang.Long;
  84:             1           1040  [Ljava.lang.Integer;
  85:            32           1024  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
  86:            37            968  [Ljavax.management.MBeanOperationInfo;
  87:            30            960  java.security.Provider$EngineDescription
  88:            39            928  [Ljavax.management.ObjectName$Property;
  89:            42            920  [Ljava.lang.reflect.Constructor;
  90:            38            912  sun.reflect.UnsafeObjectFieldAccessorImpl
  91:            37            888  java.util.jar.Attributes$Name
  92:            18            864  java.util.TreeMap
  93:            12            864  java.util.logging.Logger
  94:             4            856  [Z
  95:            21            840  sun.util.locale.BaseLocale$Key
  96:            15            840  javax.management.openmbean.ArrayType
  97:            35            840  java.util.ArrayDeque
  98:            20            800  javax.management.MBeanOperationInfo
  99:            20            800  javax.management.ObjectName
 100:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
 101:            18            720  com.sun.jmx.mbeanserver.MXBeanSupport
 102:            30            720  sun.reflect.NativeConstructorAccessorImpl
 103:            15            720  sun.misc.URLClassPath$JarLoader
 104:            15            720  java.lang.management.PlatformComponent
